Sl No,Category,Min Courses,"Min Credits
B.Tech. CSE"
1,Humanities & Social Sciences (HSS),6,12
2,Basic Sciences (BS),7,20.5
3,Engineering Sciences (ES),7,25.5
4,Professional Core (PC),10,34
5,Skill Development Core Courses (SDC),4,7
6,Skill Development Elective Courses (SDC ELEC),1,2
7,Professional Elective - 1 (PE1),1,4
8,Professional Elective - 2 (PE2),1,3
9,Professional Elective - 3 (PE3),1,4
10,Professional Elective - 4 (PE4),1,3
11,Professional Elective - 5 (PE5),1,3
12,Flexi Core (FXC),2,6
13,Project Courses (PR),5,15
14,Physics Elective (PHY),1,4
15,Chemistry Elective (CHE),1,3
16,Open Elective 1 (OE1),1,3
17,Open Elective 2 (OE2),1,3
18,Open Elective 3 (OE3),1,3
19,Foreign Language Elective (FLE),1,2
20,Management Elective (ME),1,3
21,Audit Courses (AUD),4,0
22,Value Added Courses (VAC),4,0
23,SPC,1,0
24,SOCIAL WORK,1,0
25,Placement Training Courses (PTC),0,0
