COURSE CODE,COURSE TITLE,Credits,CATEGORY
20UC1101,INTEGRATED PROFESSIONAL ENGLISH,0,Humanities & Social Sciences (HSS)
20UC1202,ENGLISH PROFICIENCY,0,Humanities & Social Sciences (HSS)
21LE1202,ENGLISH PROFICIENCY,0,Humanities & Social Sciences (HSS)
21UC2103,ESSENTIAL SKILLS FOR EMPLOYABILITY,0,Humanities & Social Sciences (HSS)
21UC2204,CORPORATE READINESS SKILLS,0,Humanities & Social Sciences (HSS)
21UC0010,UNIVERSAL HUMAN VALUES & PROFESSIONAL ETHICS,0,Humanities & Social Sciences (HSS)
20UC0010M,UNIVERSAL HUMAN VALUES & PROFESSIONAL ETHICS,0,Humanities & Social Sciences (HSS)
21UC0011,GENDER SENSATIZATION,0,Humanities & Social Sciences (HSS)
21UC0011M,GENDER SENSATIZATION,0,Humanities & Social Sciences (HSS)
20MT1101,MATHEMATICS FOR COMPUTING,0,Basic Sciences (BS)
21MT2102,MATHEMATICS FOR ENGINEERS,0,Basic Sciences (BS)
21LE2102,MATHEMATICS FOR ENGINEERS,0,Basic Sciences (BS)
21UC1203,DESIGN THINKING & INNOVATION,0,Basic Sciences (BS)
21MT2103RA,"PROBABILITY, STATISTICS & QUEUEING THEORY",0,Basic Sciences (BS)
21MT2103RB,"PROBABILITY, STATISTICS & QUEUEING THEORY",0,Basic Sciences (BS)
21CS2204,MATHEMATICAL PROGRAMMING,0,Basic Sciences (BS)
21CS2204RA,MATHEMATICAL PROGRAMMING,0,Basic Sciences (BS)
21CS2204RB,MATHEMATICAL PROGRAMMING,0,Basic Sciences (BS)
21UC3105,PROBLEM SOLVING SKILLS - 1,0,Basic Sciences (BS)
21UC3206,PROBLEM SOLVING SKILLS - 2,0,Basic Sciences (BS)
21SC1101,COMPUTATIONAL THINKING FOR STRUCTURED DESIGN,0,Engineering Sciences (ES)
21LE1101,COMPUTATIONAL THINKING FOR STRUCTURED DESIGN,0,Engineering Sciences (ES)
21LE1100,C - PROGRAMMING & DATA STRUCTURES,0,Engineering Sciences (ES)
20ME1103,DESIGN TOOLS WORKSHOP - 1,0,Engineering Sciences (ES)
22ME1103,DESIGN TOOL WORKSHOP,0,Engineering Sciences (ES)
20EC1101,DIGITAL LOGIC & PROCESSORS,0,Engineering Sciences (ES)
21SC1203,COMPUTATIONAL THINKING FOR OBJECT ORIENTED DESIGN,0,Engineering Sciences (ES)
21SC1202,DATA STRUCTURES,0,Engineering Sciences (ES)
21SC1209,DESIGN TOOLS WORKSHOP - II,0,Engineering Sciences (ES)
21EC1202,COMPUTER ORGANIZATION & ARCHITECTURE,0,Engineering Sciences (ES)
21CS2116RB,ADVANCED OBJECT ORIENTED PROGRAMMING,0,Professional Core (PC)
21CS2116AA,ADVANCED OBJECT ORIENTED PROGRAMMING,0,Professional Core (PC)
21CS2116PA,ADVANCED OBJECT ORIENTED PROGRAMMING,0,Professional Core (PC)
21CS2214RB,DESIGN  & ANALYSIS OF ALGORITHMS,0,Professional Core (PC)
21CS2214AA,DESIGN  & ANALYSIS OF ALGORITHMS,0,Professional Core (PC)
21CS2214PA,DESIGN  & ANALYSIS OF ALGORITHMS,0,Professional Core (PC)
21CS2109RA,OPERATING SYSTEMS,0,Professional Core (PC)
21CS2109RB,OPERATING SYSTEMS,0,Professional Core (PC)
21CS2109PA,OPERATING SYSTEMS,0,Professional Core (PC)
21CS2109AA,OPERATING SYSTEMS,0,Professional Core (PC)
21CS2213RA,AI FOR DATA SCIENCE,0,Professional Core (PC)
21CS2213RB,AI FOR DATA SCIENCE,0,Professional Core (PC)
21CS2213AA,AI FOR DATA SCIENCE,0,Professional Core (PC)
21CS2213PA,AI FOR DATA SCIENCE,0,Professional Core (PC)
21CS2212RA,COMPUTER NETWORKS&SECURITY,0,Professional Core (PC)
21CS2212RB,COMPUTER NETWORKS&SECURITY,0,Professional Core (PC)
21CS2212AA,COMPUTER NETWORKS&SECURITY,0,Professional Core (PC)
21CS2212PA,COMPUTER NETWORKS&SECURITY,0,Professional Core (PC)
21CS2111RA,SOFTWARE ENGINEERING,0,Professional Core (PC)
21CS2111RB,SOFTWARE ENGINEERING,0,Professional Core (PC)
21CS2111AA,SOFTWARE ENGINEERING,0,Professional Core (PC)
21CS2111PA,SOFTWARE ENGINEERING,0,Professional Core (PC)
21CS2110RA,DATABASE MANAGEMENT SYSTEMS,0,Professional Core (PC)
21CS2110RB,DATABASE MANAGEMENT SYSTEMS,0,Professional Core (PC)
21CS2110AA,DATABASE MANAGEMENT SYSTEMS,0,Professional Core (PC)
21CS2110PA,DATABASE MANAGEMENT SYSTEMS,0,Professional Core (PC)
21CS2215RA,AUTOMATA THEORY & FORMAL LANGUAGES,0,Professional Core (PC)
21CS2215RB,AUTOMATA THEORY & FORMAL LANGUAGES,0,Professional Core (PC)
21CS2215PA,AUTOMATA THEORY & FORMAL LANGUAGES,0,Professional Core (PC)
21CI3012R,ENTERPRISE PROGRAMMING,0,Professional Core (PC)
21CI3012A,ENTERPRISE PROGRAMMING,0,Professional Core (PC)
21CI3012P,ENTERPRISE PROGRAMMING,0,Professional Core (PC)
21CS4115,PARALLEL & DISTRIBUTED COMPUTING,0,Professional Core (PC)
21TS2101RB,TECHNICAL SKILLING - 1 (PYTHON FULL STACK DEVELOPMENT WITH DJANGO),0,Skill Development Core Courses (SDC)
21TS2101AA,PYTHON FULL STACK DEVELOPMENT WITH DJANGO,0,Skill Development Core Courses (SDC)
21TS2101PA,PYTHON FULL STACK DEVELOPMENT WITH DJANGO,0,Skill Development Core Courses (SDC)
21TS2202RB,TECHNICAL SKILLING - 2 (MERN STACK WEB DEVELOPMENT) ,0,Skill Development Core Courses (SDC)
21TS2202AA,MERN STACK WEB DEVELOPMENT,0,Skill Development Core Courses (SDC)
21TS2202PA,MERN STACK WEB DEVELOPMENT,0,Skill Development Core Courses (SDC)
21TS3108R,PROJECT BASED LEARNING - 3 (JAVA FULL STACK DEVELOPMENT + MICROSERVICES),0,Skill Development Core Courses (SDC)
21TS3108A,JAVA FULL STACK DEVELOPMENT+MICROSERVICES,0,Skill Development Core Courses (SDC)
21TS1005RA,TOOL BASED LEARNING - 1 (CLOUD FOUNDATIONS)/TOOL BASED LEARNING - 1 (PROGRAMMING),0,Skill Development Core Courses (SDC)
21TS1006RA,TOOL BASED LEARNING - 1 (CLOUD FOUNDATIONS)/TOOL BASED LEARNING - 1 (PROGRAMMING),0,Skill Development Core Courses (SDC)
21CS1005RB,TOOL BASED LEARNING - 1 (CLOUD FOUNDATIONS)/TOOL BASED LEARNING - 1 (PROGRAMMING),0,Skill Development Core Courses (SDC)
21TS2006RA,TOOL BASED LEARNING - 2 (CRM TOOLS OR MOBILE APP DEVELOPMENT),0,Skill Development Core Courses (SDC)
21TS2006RB,TOOL BASED LEARNING - 2 (CRM TOOLS OR MOBILE APP DEVELOPMENT),0,Skill Development Core Courses (SDC)
21TS3212R,TECHNICAL SKILLING - 4 (CRM TOOL BASED ADMINISTRATION AND DEVELOPMENT),0,Skill Development Elective Courses (SDC ELEC)
21TS3211R,TECHNICAL SKILLING - 4 (CLOUD BASED IOT DEVELOPER),0,Skill Development Elective Courses (SDC ELEC)
21TS3207R,TECHNICAL SKILLING - 4 (CLOUD BASED SOLUTIONS ARCHITECT),0,Skill Development Elective Courses (SDC ELEC)
21TS3208R,TECHNICAL SKILLING - 4(CLOUD BASED SECURITY SPECIALITY),0,Skill Development Elective Courses (SDC ELEC)
21TS3294R,TS-SDP4 (CERTIFIED GAME DEVELOPER),0,Skill Development Elective Courses (SDC ELEC)
21TS3205R,TECHNICAL SKILLING - 4 (CLOUD BASED AI/ML SPECIALITY),0,Skill Development Elective Courses (SDC ELEC)
21TS3206R,TECHNICAL SKILLING - 4 (CLOUD BASED DATA ANALYTICS SPECIALITY),0,Skill Development Elective Courses (SDC ELEC)
21TS3204A,TECHNICAL SKILLING - 4 (IT VENTURE MANAGEMENT),0,Skill Development Elective Courses (SDC ELEC)
21CS3021R,MACHINE LEARNING,0,Professional Elective - 1 (PE1)
21CS3021A,MACHINE LEARNING,0,Professional Elective - 1 (PE1)
21CS3021P,MACHINE LEARNING,0,Professional Elective - 1 (PE1)
21CS3051R,DATA VISUALIZATION TECHNIQUES,0,Professional Elective - 1 (PE1)
21CS3051A,DATA VISUALIZATION TECHNIQUES,0,Professional Elective - 1 (PE1)
21CS3051P,DATA VISUALIZATION TECHNIQUES,0,Professional Elective - 1 (PE1)
21CS3037R,CLOUD INFRASTRUCTURE & SERVICES,0,Professional Elective - 1 (PE1)
21CS3037A,CLOUD INFRASTRUCTURE & SERVICES,0,Professional Elective - 1 (PE1)
21CS3037P,CLOUD INFRASTRUCTURE & SERVICES,0,Professional Elective - 1 (PE1)
21CS3117R,IOT SENSING  AND ACTUATING DEVICES,0,Professional Elective - 1 (PE1)
21CS3117A,IOT SENSING AND ACTUATING DEVICES,0,Professional Elective - 1 (PE1)
21CS3117P,IOT SENSING AND ACTUATING DEVICES,0,Professional Elective - 1 (PE1)
21CS3062R,SOFTWARE VERIFICATION & VALIDATION,0,Professional Elective - 1 (PE1)
21CS3062A,SOFTWARE VERIFICATION & VALIDATION,0,Professional Elective - 1 (PE1)
21CS3062P,SOFTWARE VERIFICATION & VALIDATION,0,Professional Elective - 1 (PE1)
21CS3041R,CRYPT ANALYSIS & CYBER DEFENSE,0,Professional Elective - 1 (PE1)
21CS3041A,CRYPT ANALYSIS & CYBER DEFENSE,0,Professional Elective - 1 (PE1)
21CS3041P,CRYPT ANALYSIS & CYBER DEFENSE,0,Professional Elective - 1 (PE1)
21CS3071R,PROGRAMMING FOR GAME DEVELOPMENT,0,Professional Elective - 1 (PE1)
21CS3071A,PROGRAMMING FOR GAME DEVELOPMENT,0,Professional Elective - 1 (PE1)
21CS3071P,PROGRAMMING FOR GAME DEVELOPMENT,0,Professional Elective - 1 (PE1)
21EC4061,TCP/IP & OTHER PROTOCOL SUITE,0,Professional Elective - 1 (PE1)
21CS3022R,SOFT COMPUTING,0,Professional Elective - 2 (PE2)
21CS3026R,ARTIFICIAL NEURAL NETWORKS,0,Professional Elective - 2 (PE2)
21CS3120R,MULTIMODAL INFORMATION PROCESSING,0,Professional Elective - 2 (PE2)
21CS3052R,DATA WAREHOUSING & MINING,0,Professional Elective - 2 (PE2)
21CS3032R,ADVANCED OPERATING SYSTEMS,0,Professional Elective - 2 (PE2)
21CS3036R,FUNCTIONAL AND CONCURRENT PROGRAMMING,0,Professional Elective - 2 (PE2)
21CS3045R,INTRODUCTION TO BLOCKCHAIN AND CRYPTOCURRENCIES,0,Professional Elective - 2 (PE2)
21CS3042R,NETWORK AND INFRASTRUCTURE SECURITY,0,Professional Elective - 2 (PE2)
21CS3064R,UX DESIGN,0,Professional Elective - 2 (PE2)
21EL3117,INTERNET OF THINGS : ARCHITECTURES AND PROTOCOLS,0,Professional Elective - 2 (PE2)
21EC4062,VOIP SYSTEMS & BROAD BAND NETWORKS,0,Professional Elective - 2 (PE2)
21CS3298R,CYBER PHYSICAL SYSTEMS,0,Professional Elective - 3 (PE3)
21CS3298A,CYBER PHYSICAL SYSTEMS,0,Professional Elective - 3 (PE3)
